Sentence #,Standard_Bangla
1697,আম পাকে বৈশাখে কুল পাকে ফাগুনে
1698,কাঁচা ইট পাকা হয় পোড়ালে তা আগুনে
1699,রোদে জলে টিকে রং পাকা কই তাহারে
1700,ফলারটি পাকা হয় লুচি দই আহারে
1701,চুল পাকে বয়সে
1702,পাকা ছেলে বেশি কথা কয় সে
1703,কান পাকে ফোড়া পাকে
1704,বুদ্ধি পাকিয়ে তোলে লেখাপড়া গিলিয়ে
1705,কথা যার পাকা নয় কাজে তার ঠনঠন
1706,অনেক দূরের পথ
1707,বাসে করেই তাঁকে রওনা দিতে হলো
1708,বাস থেকে যখন নামলেন তখন সকাল হয়ে গেছে
1709,সকাল হয়ে গেছে
1710,একটা ভালো কাজ করতে পারবেন
1711,তোমাদের কারো বিশ্বাস হবে না
1712,কথাটি তোমাদের কারো বিশ্বাস হবে না
1713,অনেকগুলো নতুন বই দেখে আমি অবাক হয়ে বললাম
1714,আপনি কি আমাদের বাড়িতে এসেছেন
1715,তিনি আমার কথার জবাবে কিছু বললেন না
1716,তিনি আমার কথার জবাবে ছোটো করে বললেন হ্যাঁ
1717,বইগুলোর দিকে তাকিয়ে ছিলাম
1718,শুধু তাঁর হাতের দিকে তাকিয়ে ছিলাম
1719,কেন তা কি জানতে পারি
1720,পরে আমরা লাইব্রেরি দেখতে যাই
1721,খুবই বড়ো লাইব্রেরি সন্দেহ নেই ব্যবস্থাও খুব ভালো
1722,রিডিং রুমগুলো ভাগ ভাগ করা রয়েছে
1723,শিক্ষকরাও তাদের সাথে আছেন
1724,যাওয়ার সাথে সাথে কী একটা শব্দ করল
1725,আর সকল ছেলেমেয়ে লাইন বেঁধে দাঁড়িয়ে গেল
1726,আমরা সালাম গ্রহণ করলাম
1727,তারা স্লোগান আরম্ভ করল
1728,আমরা বিদায় নিয়ে চলে এলাম
1729,আমি সাগর পাড়ি দেবো
1730,সব দিনের মতো সেদিনও ওরা খেলতে গিয়েছিল
1731,কয়েকজন লোক ফিতা নিয়ে মাপজোখ করছে
1732,একজনের হাতে আবার মোটা একটা খাতা
1733,সেখানে কলম দিয়ে কীসব টুকে রাখছে
1734,কী করছে তা তো জানি না
1735,কয়েকজন একসঙ্গে বলে ওঠে
1736,বদলে যাচ্ছে আমাদের খেলার মাঠটা তাই না
1737,কোন বিষয় নিয়ে আমার রাগ থাকলে আমি কিছু বললেও উনি চুপ করে থেকে আমাকে বুঝায়
1738,নিজেকে উনি দূর্বল ভেবে এমন করে
1739,উনি মানুষটাই এমন সবাই বলে অনেক ভাগ্য করে নাকি এমন স্বামী পাইছি
1740,আসলেই মানুষটার প্রতি আমি মুগ্ধ
1741,এই মুগ্ধতায় বিভোর থাকতে চাই আমি আজীবন
1742,স্বামীর প্রতি আমার বিন্দুমাত্র কোন অভিযোগ নেই
1743,চলো একদিন দেখা করি পুরো শহর রিক্সায় ঘুরবো
1744,এর মাঝখানে চাকরির পড়াশোনায় বেশ খানিকটা ক্ষতি হয়ে যায়
1745,আমি আজকে কফি খাই নাই
1746,আমার মাথায় অনেক ব্যাথা করছে
1747,তোমার সৌন্দর্যে আমি মুগ্ধ
1748,আমি আজকে সকালে তার সাথে কথা বলেছি
1749,তুমি কি আমায় ঘুরতে নিয়ে যাবে
1750,আমার স্বামী তিন বছর ধরে বিদেশে আছেন
1751,তুমি কি রাতে খেয়েছো
1752,আপনি কি রাতে খেয়েছেন
1753,ছেলেটির নানার বাড়ি বরিশালে
1754,ছেলেটির গ্রামের বাড়ি রাজশাহীতে
1755,আমার ফেসবুক আইডিটা যদি চিড়িয়াখানা হতো
1756,ঢাকার মিরপুরে কাল থেকে বিদ্যুৎ যাচ্ছে না কেন
1757,বিদ্যুৎ সমস্যার কি সমাধান হয়ে গেছে
1758,পৃথিবীতে বাবার পরেই দ্বিতীয় বীর যোদ্ধা হলেন বড়ভাই
1759,আমার খিদে পেয়েছে
1760,সামনে কোরবানি ঈদ আসছে
1761,কোরবানি ঈদ হলো ইসলামিক ধর্মের একটি প্রধান উৎসব
1762,রেগে গেলেন তো হেরে গেলেন
1763,সুস্থ দেহ ও প্রশান্ত মন একজন মানুষের সব থেকে বড় সম্পদ
1764,আমার কাজ ও ব্যস্ততা বাড়ছে
1765,অন্যের দোষ সহজেই খুঁজে পাওয়া যায়
1766,নিজের দোষ খুঁজে পাওয়া খুব কষ্টকর
1767,প্রতিদিন আমি কিছু না কিছু শিখবো
1768,সুখী হতে হলে অপ্রয়োজনীয় অনেক কিছু ভুলে যেতে হয়
1769,সবাই ভালোবাসা পেতে চায়
1770,দৃষ্টিভঙ্গি বদলালে জীবন বদলে যাবে
1771,আজ ছুটির দিন
1772,সবার জীবনে একটি লক্ষ্য থাকতে হবে
1773,লক্ষ্য ঠিক করে আমরা জীবনে এগিয়ে যেতে পারি
1774,সবাইকে স্বাগতম
1775,কেরোসিন তেলের দাম কমার ফলে অক্টোবরে চাহিদা কিছুটা বেড়েছিল
1776,প্রতিদিন অন্তত একটি পেয়ারা করে খেলে পেতে পারেন অনেক উপকার
1777,বিভিন্ন ফলের মধ্যে পেয়ারা অন্যতম জনপ্রিয় ফল
1778,ওজন কমানোর জন্য পেয়ারা অত্যন্ত উপকারী
1779,গরমের দিনে তাজা নারিকেল পান করা খুব আনন্দদায়ক
1780,আমার বাড়ীর পিছনে অনেক বড় একটি নারিকেল গাছ আছে
1781,রান্নাঘরে কে দাড়িয়ে আছে
1782,মাটির পাতিল গুলা অনেক সুন্দর
1783,মোরগের মাংস দিয়ে ভাত খেতে আমার অনেক ভালো লাগে
1784,শিমের তরকারী ডিয়ে ভাত খেতে আমার ভালো লাগে না
1785,পেঁপে খেতে অনেক সুস্বাদু
1786,পেঁপে বাংলাদেশের একটি জনপ্রিয় ফল
1787,গ্রাম থেকে শহরে আসার সময় অনেক গুলা জাম্বুরা কিনে আনবা
1788,তুমি কি জামরুল খাও
1789,সে ছাদে অনেক গুলো কবুতর পালে
1790,আমাদের খামারে ৫০০০টির বেশি মুরগি আছে
1791,আমি একটি মুরগির বাচ্চা পালি
1792,একটি বিড়াল ছানা পালার খুব ইচ্ছা আমার
1793,আমি সাঁতার কাটবো না
1794,তুমি একটা বোকা মেয়ে
1795,সবাই ড্রয়িংরুমে বসছে
1796,স্টোররুমটি নোংরা হয়ে আছে
1797,ফ্লোর গুলি মার্বেল পাথর দিয়ে বানানো
1798,গ্রামের মানুষরা লাকড়ির চুলা ব্যবহার করে
1799,আমি দুপুরে শুধু বেগুন তরকারির ঝোল দিয়ে ভাত খেয়েছি
1800,লাউ দিয়ে চিংড়ি মাছের ঝোল আমার খুব প্রিয় তরকারি
1801,গরমের দিনে গোসল করা ছাড়া একটি দিনও টিকা মুশকিল
1802,আমি গ্রামের বাড়ীতে গেলে পুকুরে গোসল করি
1803,আপনাকে যদি জিভে পানি এনে দেবে এমন একটি ফলের নাম বলতে বলা হয় তাহলে আপনার মনে তেঁতুলের নাম আসবেই
1804,ছোটবেলায় বাবা মা তেতুল খেতে নিষেধ করে নাই এমন কাওকে মনে হয় না খুঁজে পাওয়া যাবে
1805,তেতুল খেলে বুদ্ধি কমে যায়
1806,তেতুল নিয়ে শুধুমাত্র আমাদের দেশে নয় সারা উপমহাদেশেই প্রচুর ভুল ধারনা আছে
1807,এটা আমাদের বাড়ির উঠান
1808,ছোটো বাচ্চারা গ্রামের বাড়ীর উঠানে খেলছে
1809,এই শিশুটি অনেক অসুস্থ
1810,প্রায় দেড় মাস হয়ে গেলেও শিশুটির কোনো অভিভাবকের সন্ধান পাওয়া যায়নি
1811,হাসপাতালে কাঁদছে আহত শিশুটি
1812,বৃষ্টির দিনে কি বারান্দার গাছে পানি দেওয়ার প্রয়োজন আছে
1813,বৃষ্টি হলেও কি গাছে পানি দিতে হবে
1814,অতিরিক্ত পানি পেয়ে গাছগুলো মরে যাবে না তো
1815,যেদিন বৃষ্টি হয়েছে সেদিন বারান্দার গাছে পানি দেওয়ার প্রয়োজন নেই
1816,শশা এক প্রকারের ফল
1817,গরমের সময় শশা বেশি পাওয়া যায়
1818,টমেটোর বাজারে যে আগুন সাধারণ মানুষের কাছে তা এখন আর নতুন কোনো খবর নয়
1819,এই বাজারেই টমেটো বিক্রি করে কোটিপতি হয়ে গেলেন এক কৃষক
1820,সরিষার তেল দিয়ে মাছ ভাজা খাবো
1821,সরিষার তেল রান্নার জন্যে এবং গায়ে মালিশ করার কাজে ব্যবহার হয়
1822,সরিষার তেল অকালে চুল সাদা হওয়া রোধ করে ও চুল পড়া কমায়
1823,কেরোসিন তেলের দিন দিন দাম বাড়ছে
1824,আমার দুইদিন ধরে সর্দি কাশি
1825,এখানে থুথু ফেলা নিশেধ
1826,তেতুল খেলে রক্ত পানি হয়ে যায়
1827,আমি বাজার থেকে পেয়ারা কিনে আসলাম
1828,দাদু নারিকেল পানি পছন্দ করে
1829,মা রান্নাঘরে তরকারি রান্না করছে
1830,আমার ছোট ভাইটি মুরগির মাংস খেতে খুব ভালোবাসে
1831,শিম ভাজি আমার পছন্দের সবজি
1832,জাম্বুরা ঠান্ডা সর্দি জ্বর জনিত সমস্যার জন্য খেলে ভাল ফলাফল পাওয়া যায়
1833,জামরুল আমার প্রিয় ফল
1834,অনেকেই শখের বশে কবুতর পালন করেন
1835,কবুতর পালন করতে বেশি জায়গারও প্রয়োজন হয় না
1836,দেশীয় মুরগী বছরে পঞ্চাশ ৬০টি ডিম দেয়
1837,মানুষ দিনের বেলা যতোটা পরিষ্কার দেখে বিড়ালেরা রাতে তার চেয়েও ভালো দেখতে পায়
1838,তুমি কি আমাকে বোকা মনে করো
1839,আমি ড্রয়িংরুমে বসে ছবি আঁকতে ভালোবাসি
1840,ঘরের আসবাবপত্র রেখে দেওয়ার জন্য স্টোররুম দরকার
1841,ঘরের ফ্লোর পরিষ্কার করতে হবে
1842,বাংলাদেশের শীতকালটা লাউ চাষের জন্য বেশি উপযোগী
1843,বেশি শীতও না আবার বেশি গরমও না এমন আবহাওয়া লাউ চাষের জন্য উত্তম
1844,উঠান থেকে কথা বলে তিনি চলে গেলেন
1845,মা ঝারু দিয়ে ঘরটি পরিষ্কার করছে
1846,তেতুলের কচি পাতা সিদ্ধ করে পানি সেবন করলে সর্দি কাশি ভাল হয়
1847,আমি খাবারে টক খুব ভালোবাসি
1848,সকালে ঘুম থেকে উঠার পর আমি ভালো কাজে পর্যাপ্ত সময় ব্যয় করতে চাই
1849,চাষাবাদ করে আমি সময় কাটাই
1850,সর্দি হলে গরম রং চা খেলে ভালো লাগে
1851,পেয়ারা একটি মিষ্টি ফল
1852,নারিকেল থেকে নারিকেল পানি পাওয়া যায়
1853,রান্নাঘরে আমি রান্না করি
1854,ভাত রান্নার পাত্রটি শক্ত করে ঢেকে রাখতে হবে
1855,শিম সব ধরনের মাটিতেই চাষ করা যায়
1856,পেঁপে একটি সুস্বাদু ফল
1857,অনেকগুলো কবুতর আকাশে উড়ছে
1858,একটি সম্পূর্ণ নতুন স্টোররুম ডিজাইন তৈরি করতে পারেন
1859,সিলেট নগরের শেখঘাট এলাকায় গড়ে উঠেছে বেশ কয়েকটি লাকড়ি তৈরির কারখানা
1860,তেতুল এর টক দিয়ে ফুসকা খাবো
1861,কাঁচা আমের শরবত অনেক টক
1862,সরিষার তেল দিয়ে ঝাল মুড়ি বানাও
1863,এই বোকা কোন বিষয়ে জানে না
1864,ঘামে শরীর থেকে যে পানি ও খনিজ লবণ বের হয়ে যায় তার অনেকটাই পূরণ করতে পারে লাউ
1865,বাংলাদেশে জনপ্রিয় সবজির অন্যতম লাউ যেটি এখন প্রায় সারা বছরই পাওয়া যায়
1866,ওজন কমানোর জন্য শসার সুপ খাওয়া যেতে পারে
1867,এই তেতুলের নাম শুনলেই জিভে জল আসেনা এমন মানুষ খুজে পাওয়া কঠিন
1868,আবেগ প্রবন মানুষ খুব বোকা হয়ে থাকে
1869,প্রথম দেখায় কাউকে খুব সরল মনে বিশ্বাস করতে যাবেন না
1870,লবন ছাড়া তরকারি যেমন স্বাদহীন বিশ্বাস ছাড়া সম্পর্কও তেমন মূল্যহীন
1871,কাউকে মিথ্যা বলে খুশী করার থেকে সত্যি বলে কাঁদানো ভালো
1872,একে অপরের প্রতি যতো বেশী বিশ্বাস থাকবে তাদের ভালোবাসার পাল্লা ততো ভারী হবে
1873,বৃষ্টি বেড়ে তাপমাত্রা কমার সুখবর দিয়েছে আবহাওয়া অফিস
1874,পুরো বর্ষা মৌসুমে হাতে গোনা কয়েকদিন মাত্র বৃষ্টি হওয়ার পর আর মেঘের দেখা নেই
1875,খাওয়ার অনেক আগেই যদি ভাত রান্না শেষ হয়ে গিয়ে থাকে তবে ঢাকনা সরিয়ে একটা তোয়ালে দিয়ে ঢেকে রাখুন
1876,বাংলাদেশে চৌষট্টি টা জেলা
1877,আমরা সবাই গতকাল বাহিরে গিয়েছিলাম
1878,তোমার কথা বলার ধরন অনেক সুন্দর
1879,বরিশালের মানুষ কেমন হয়
1880,খুলনা জেলা কি অনেক সুন্দর
1881,খুলনার মানুষ তেমন সুন্দর হয় না
1882,কখনো ভেবে দেখেছ আমি না থাকলে তোমার কি হতো
1883,এতো ভাবার সময় কই
1884,দুপুরের রোদে আমি কালো হয়ে গেছি
1885,আমি জানি তুমি চিঠিটা এখনি পড়তে শুরু করবে
1886,আম দিয়ে বানিয়ে ফেলতে পারেন শরবত
1887,আজকে স্কুলে তোমাদের কি কি পড়িয়েছে
1888,আমার আগের কোনো কথা কিছুই মনে নেই
1889,তুমি এত অমনোযোগী হলে পরিক্ষায় ভালো ফলাফল করবে না
1890,এই বিষয়ে কি করতে পারি আমি
1891,হায়রে মানুষ একজন আরেকজনের প্রতি হিংসা করে
1892,আমি আমার বাসার সামনের খেলার মাঠে খেলি
1893,আম দিয়ে শরবত বানিয়ে খাও
1894,ঠাণ্ডা শরবত খেলে ভালো লাগবে তোমার
1895,এতো চিন্তা করা লাগবে না নিজেরে নিয়ে ভাবো
1896,আমকে আমাদের দেশে ‘ফলের রাজা’ বলা হয়
1897,তুমি দেখতে সুন্দর না হলেও আমি তোমাকেই চাই
1898,সেখানে অনেক পুলিশ দেখে বাসার দিকে ফিরছিলাম
1899,আমি চলে যাচ্ছি তোমাকে আর কোন দিন ফোন দিয়ে বলবোনা একটু সময় দাও
1900,বুঝে উঠতে পারছিলাম না কী করবো
1901,তোমার সব কথা ঠিক আছে
1902,আমি ভালো ছেলে
1903,বিয়ের জন্য আব্বা আমার জন্য মেয়ে খুজতাসে
1904,আম্মা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিলও
1905,ছেলেটিকে আমার ভাল লেগেছে
1906,ছেলেটি হয়ত অন্য কোনও মেয়েকে ভালবাসে
1907,মেয়েটি ছেলেটার অপেক্ষায় থাকে
1908,ছেলেটি কেন যে মেয়েটার মনের কথা বুঝে না
1909,মেয়েটি হয়ত ছেলেটাকে তাঁর মনের কথা ভাল ভাবে বুঝাতে পারেনাই
1910,হয়ত কোন একদিন ছেলেটি মেয়েটাকে ভালবাসবে
1911,তুমি আমাকে দয়া করে আর বিরক্ত করো না
1912,সে তাকে অনেক বিরক্ত করে
1913,তাকে নিয়ে আমি আমার গ্রামের বাড়িতে ঘুরতে যেতে চাই
1914,এইবার ছুটিতে সিলেট ঘুরতে যাব
1915,আমি যাকে ভালবাসি সে সিলেটে থাকে
1916,আমার এখন বইটা লাগবে নাহ
1917,তুমি কি এই বইটি পড়তে চাও
1918,সে কি এই বইটি পড়তে চায়
1919,আপনি কি এই বইটি পড়তে চান
1920,আমার বই পরতে অনেক ভাল লাগে
1921,তোমার আমাকে চিনতে হবে না
1922,অনেক রাত হয়েছে এখন ঘুমিয়ে যাও
1923,তোমাকে পড়ালেখা করতে হবে
1924,তোমার পড়ালেখা করতে ভাল লাগে না
1925,আমাকে পড়ালেখা করতে হবে
1926,সে অনেক ভালো রান্না করে
1927,আমি একটি বিদ্যালয় পড়ালেখা করি
1928,আমার ছোট বোন একটি বিদ্যালয়ে পড়ে
1929,আমার ছোট ভাই একটি বিদ্যালয়ে পড়ালেখা করে
1930,আমার বিদ্যালয়ে যেতে ভাল লাগে না
1931,আমার বিয়ের বয়স পার হয়ে যাচ্ছে
1932,আহারে তোমার মনে কতো দুঃখ
1933,আমি ঘুমাতে যাবো
1934,আমি নাচতে পারি
1935,আমি সাঁতার কাটতে পছন্দ করি
1936,আমি তোমার বাসায় ঘুরতে আসবো
1937,সে তার গ্রামের বাড়িতে ঘুরতে গিয়েছে
1938,আমার বন্ধু মানসিক ভাবে দুর্বল
1939,এমন অবস্থায় তার কি করা উচিত
1940,আমার দুইটি বাবু আছে
1941,আমার স্বামীকে আমি খুব ভালোবাসি
1942,অনেক দিন পর আপনার সাথে দেখা
1943,আপনি কেমন আছেন
1944,আপনার কি আমার কথা মনে আছে এখনও
1945,আমার পড়ালেখা করতে ভালো লাগে নাহ
1946,আমার বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন
1947,আপনার সাথে কথা বলে অনেক ভালো লাগলো
1948,অনেকে বলে প্রেম করলে মানুষ বোকা হয়
1949,অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়
1950,একজন লোক মারা গেছেন
1951,তুমি এত গরীব আগে কেন বলোনি
1952,আমি আগেই বলেছি তুমি ছাড়া এই পৃথিবীতে আমার আর কিছুই নাই
1953,মনের ভালোবাসা চিরদিন থেকে যাবে
1954,জীবনের কিছুটা পথ একা একা চলা তেমন কঠিন নয়
1955,জীবন হলো বাঁচার জন্য
1956,মন হলো দেবার জন্য
1957,ভালবাসা হলো সারা জীবন পাশে থাকার জন্য
1958,আমি কিছু ভাবতে পারিনা তোমায় ছাড়া
1959,আমি কিছু লিখতে পারিনা তোমার নাম ছাড়া
1960,আমি কিছু বুঝতে চাইনা তোমায় ছাড়া
1961,ভালবাসায় এমন কেন হয়
1962,যখন ছেলে বুঝে তখন মেয়ে বুঝেনা
1963,ভালোবাসি তোমাকে বলা বাকি
1964,আমার খুব গরম লাগছে
1965,তোমার কি গরম লাগছে
1966,আপনার কি গরম লাগছে
1967,আপনি কি আমাকে ভালবাসেন
1968,তোমার জন্য মনে আমার অফুরন্ত আশা
1969,সারা জীবন পেতে চাই তোমার ভালবাসা
1970,হারিয়ে যেতে ইচ্ছে করে অনেক দূরে
1971,চলোনা দুজনে মিলে ঘুরে আসি
1972,চলোনা দুজনে মিলে সাঁতার কাটি
1973,বাস্তব কঠিন হলেও মেনে নিয়ে মানিয়ে চলতে হয়
1974,ফেসবুকে তার একজনের সাথে সম্পর্ক হয়
1975,ছেলেটা ভালো চাকরি করে
1976,এই পাঁচ মাসে ছেলে তার পরিবার নিয়ে মেয়ের বাসায় যায় না
1977,মেয়ে বলে প্রয়োজন পড়লে আমার পরিবার তোমার পরিবারের সাথে কথা বলবে
1978,পরিবার বলতে মা বাবা ভাই বোন নিয়ে
1979,আমার স্বামী দুই বছর আগে আমাদেরকে রেখে এসে আলাদা হয়ে যায়
1980,আমার পছন্দ হয় এমন মেয়ে তাদের পছন্দ হয় না
1981,আপনার বাবা মার যেহেতু স্বপ্ন
1982,পরে আপনার অনেক আফসোস হবে
1983,তাদের একটি বাচ্চা আছে পাঁচ বছরের
1984,দুজনেই তাদেরকে চাকরি নিয়ে ব্যস্ত
1985,সংসারে কেউ ঠিকঠাকমতো সময় দিতে পারেনা
1986,স্ত্রীর অভিযোগ স্বামী তার দায়িত্ব ঠিকমতো পালন করছে না
1987,আপনার নাম কি
1988,তোর নাম কি
1989,তোর গ্রামের বাড়ি কোঁথায়
1990,তোর বাবার নাম কি
1991,তোর মার নাম কি
1992,পরে খুঁজে নাও পেতে পারি
1993,তাদের সঙ্গে আমি সব সময় আনন্দে ভরে থাকি
1994,আমার বন্ধুরা আমাকে ভালবাসা দেয়
1995,আমরা সবাই একসাথে হাসি খুশি করে সময় কাটাই
1996,আমাদের মধ্যে কোন রকম ঝগড়া নেই
1997,আমার বোন আমার সাথে সব সময় থাকতে চায়
1998,আমি আমার ভাইকে অনেক ভালোবাসি
1999,আমি আমার বোনকে অনেক ভালোবাসি
2000,একটি গ্রামে একজন খারাপ ছেলে থাকতো
2001,সে সবসময় মিথ্যা কথা বলতো
2002,সবাই তাকে অনেক ভয় পেতো
2003,কেউ তাকে ভালোবাসতো নাহ
2004,সে খুবই খারাপ ছিল
2005,গ্রামের মানুষরা ছেলেটির থেকে দূরে থাকতে চেষ্টা করত
2006,আপনি এতো খারাপ হয়ে কেন আছেন
2007,খাওয়ার সময় খুব বেশি ব্যথা করছে দাঁতে
2008,এটা কি ধরনের প্রশ্ন
2009,তুমি থাকো কোথায়
2010,আমরা কেন যাচ্ছি না
2011,কাজে ফাঁকি দিও না
2012,আপনাকে কেমন ভাবে সাহায্য করতে পারি
2013,আমি বাংলা ভাষা বুঝি
2014,আমি আপনার সাথে আছি
2015,আপনি কি একটি বাংলা গান গাইতে পারেন
2016,আমি আপনাকে কখনো ভুলব না
2017,আপনি কি এখানে রাস্তা দেখতে পাচ্ছেন
2018,আমি আপনার কাছে আসতে চাই
2019,আপনি কি পড়া লিখা করতে পারেন
2020,আমি আপনার জন্য অপেক্ষা করতে পারি
2021,আপনি কি আমার প্রশ্নের জবাব দিতে পারেন
2022,আমি আপনার কাছ থেকে একটি গল্প শুনতে চাই
2023,আপনি কি আমাকে একটি ছবি তুলতে পারেন
2024,আমি আপনার সঙ্গে একটি কথা বলতে চাই
2025,আপনি কি কোনো ভুল করেছেন
2026,আপনি কি একটি বাংলা বই পড়তে পারেন
2027,আমি আপনার কাছে পরামর্শ চাই
2028,আমি আপনার পাশে থাকতে চাই
2029,আপনি কি এই জায়গায় ঘুরতে পারেন
2030,আপনি কি গান লিখতে পারেন
2031,আমি আপনার সাথে প্রেম করি
2032,আপনি কি একটি বাংলা নাটক দেখতে পারেন
2033,আমি আপনার কাছে শিক্ষা নিতে চাই
2034,আমি আপনার সঙ্গে মজা করতে চাই
2035,আপনি কি কোনো ভুল বুঝতে পারেন
2036,আমি আপনার সঙ্গে সময় কাটাতে চাই
2037,আপনি কি বাংলা কবিতা লিখতে পারেন
2038,আমার বাংলা বুঝতে অসুবিধা হচ্ছে
2039,আমি বাংলা কথা বলতে পারি
2040,আমি বুঝতে পারছি না
2041,আমার বাচ্চা একটি মেয়ে আছে
2042,আপনি কি একটি শহরে যাবেন
2043,আমি এখানে থাকবো
2044,আমার বাড়ি দূরে আছে
2045,আমার বাবা একজন ডাক্তার
2046,তুমি কি কখনো এখানে আসতে পারবে
2047,তুমি কি আমার সাথে যাবে
2048,তুমি কি বাংলা গান শুনতে পারো
2049,আমি অনেক খুশি
2050,আমার বইটা কোথায়
2051,তুমি কি খেলতে ভালোবাসো
2052,আমার বাড়িতে বড়ই সুন্দর ফুল আছে
2053,তুমি কি আমার বন্ধু হতে চাও
2054,আমি এখানে প্রতিদিন আসি
2055,তুমি কি খেলাধুলায় ভালো
2056,তোমার কি খাওয়ার জন্য সময় আছে
2057,আপনি কি গান শুনতে পছন্দ করেন
2058,আমার প্রিয় ফল আম
2059,আমাকে নিয়ে বিদেশে ঘুরতে যাবা
2060,সে বিদেশে যাবে
2061,তাঁর এই মাসে বিদেশে যাওয়ার কথা ছিল
2062,সে বিদেশে যেতে চায় না
2063,আপনি কি বিদেশে যেতে চান
2064,তারা তিন ভাই ছিল কিন্তু তাদের মা ছিলনা
2065,বনের মধ্যে একটি ছোট্ট জায়গায় তারা তিন ভাই একসঙ্গে থাকতেন
2066,একসময় এক রাজার এক হাতি ছিল
2067,আমি সকালে পড়াশোনা করে মন সচেতন রাখি
2068,সকালের শুরুতেই পড়াশোনা শুরু করা ভালো হয়
2069,আমি আজকে রাতের খাবার খাবো না
2070,কেন আজকে রাতে খাবা না
2071,আমার ক্ষুধা লাগে নি
2072,চলো সবাই মিলে ঘুরতে যাই
2073,অনেক দূরে যেখানে কেউ নেই
2074,তুমি কেমন আছো
2075,তুমি কি চাকরি করছো এখনো
2076,তুমি কি পড়াশোনা করছো
2077,আমি এখন বিশ্ববিদ্যালয়ে পড়াশোনা করছি
2078,আমি বিজ্ঞানে মাস্টার্স ডিগ্রি অর্জন করেছি
2079,আপনি যেভাবে এগিয়ে যাচ্ছেন তা খুবই গর্বের বিষয়
2080,আমি পরে আপনার দোকানে আসব
2081,আমার বড় মেয়ের বিয়ের আয়োজন চলছে
2082,বিয়ের তারিখ কখন ঠিক করা হয়েছে
2083,এখন পর্যন্ত সবকিছু ঠিকমতো আয়োজন করছি
2084,সাহায্যের জন্য আমি এখানে আছি
2085,আমি সাগর অনেক পছন্দ করি
2086,কেন তুমি সাগর পছন্দ করো
2087,সাগরের পানি অনেক নীল
2088,তোমার নাম কি
2089,চলো পালিয়ে যাই
2090,আমার পকেট মানি লাগবে
2091,এতো টাকা কোথায় পাবো
2092,টাকা দিয়ে কি করবা
2093,একটি গাড়ি কিনবো
2094,কালো রঙ আমার অনেক প্রিয়
2095,তোমার প্রিয় রঙ কি
2096,তুমি কি দেখেছো
2097,আমাকে ছাড়া ভালো থেকো
2098,আমার বয়স কম
2099,ভুল করে ফেলেছি
2100,তুমি চাইলে আমি চাঁদ এনে দিবো
2101,সকালে চা খাবা
2102,একটু এইদিকে আসো
2103,ছেলেটি অনেক মেধাবী
2104,মেয়েটি ছেলেটিকে ভালোবাসতো
2105,মেয়েটি অনেক বুদ্ধিমতী
2106,মেয়েটি অংকে কাঁচা
2107,আমি ওর নাম জানি
2108,সে আমার গ্রামের বাড়ীতে এসেছিল
2109,উনি গ্রাম থেকে ঢাকায় এসেছিলেন
2110,ও ঢাকা থেকে গ্রামে গিয়েছিল
2111,তিনি রাতে ঘুমতে গিয়েছিলেন
2112,সে বাগানে দৌড়ায়
2113,উনি রাস্তার মাঝে দৌড়ায়
2114,আমি তোমার সাথে একমত হতে পারছি না
2115,আমি চেষ্টা করেছিলাম
2116,আমাকে বইটি দেখান
2117,একদম ঠিক কথা বলেছ
2118,বাগানের মধ্যে দিয়ে কে দৌড়াল
2119,আপনি খেলায় জিতলেন
2120,তুমি খেলায় জিতলে
2121,তুমি যাও এখান থেকে
2122,আপনি যান এখান থেকে
2123,তুই যা এখান থেকে
2124,আপনারা পার্কে ঘুরে বেড়ান
2125,উনি চেষ্টা করেন
2126,উনি চেষ্টা করেন না
2127,তোমার আব্বু কেমন আছে
2128,আমার বড় বোনের আজকে মন ভালো নেই
2129,তুমি কি আমাকে এই কাজটি করে দিতে পারবে
2130,এই গরমে বাহিরে বের হতে ইচ্ছা করে না
2131,তোমার সব কথাই ভুল
2132,তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি
2133,বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে
2134,আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল
2135,ছেলেটিকে আমার একদমই ভালো লাগেনি
2136,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল
2137,আমার দুইদিন পরে বিয়ে হবে
2138,ছেলেটি এখন আর বিকালে খেলতে বের হয় না
2139,মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে
2140,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে
2141,আমার বাসার দারওয়ান অনেক ভালো মানুষ
2142,আমার বন্ধু খুলনা ঘুরতে গিয়েছে
2143,আমার ঘুরতে অনেক ভালো লাগে
2144,আমি বিদেশে গিয়ে অনেক ঘুরতে চাই
2145,তুমি আমাকে বিরক্ত করো না
2146,তিনি আমাকে অনেক অপমান করেছে
2147,আমার সকালে উঠে বই পরতে অনেক ভালো লাগে
2148,আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না
2149,আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না
